id,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time
1,D,Road,4,3,179,3,low,F,3,5495,1
2,F,Ship,4,4,275,5,medium,M,5,1117,0
3,F,Ship,6,2,286,4,medium,M,6,1556,1
4,F,Ship,4,1,254,5,low,F,7,1003,0
5,F,Road,3,4,245,4,low,M,4,5186,1
6,D,Ship,3,2,132,3,low,F,56,1303,1
7,F,Ship,5,4,222,3,low,M,7,5340,0
8,D,Ship,3,1,144,3,medium,F,6,4163,0
9,D,Flight,3,5,157,4,medium,M,26,1969,1
10,B,Ship,3,1,180,7,medium,M,10,5536,0
11,F,Ship,7,1,290,4,low,F,9,1885,0
12,F,Road,4,4,142,10,high,F,7,5425,1
13,C,Ship,2,3,234,4,low,M,44,3134,1
14,F,Flight,7,2,272,4,medium,F,8,1816,0
15,F,Ship,3,3,211,3,medium,M,7,5185,0
16,B,Ship,4,5,139,3,medium,M,5,5126,0
17,B,Ship,3,1,202,2,high,F,21,3120,1
18,D,Ship,3,5,198,2,medium,F,62,3015,1
19,B,Road,3,5,142,3,low,F,2,4619,0
20,A,Flight,4,3,267,4,low,M,7,5140,0
21,D,Ship,3,1,201,3,low,F,6,4953,0
22,B,Ship,3,3,228,2,medium,M,27,3473,1
23,D,Ship,3,3,185,3,medium,M,4,4111,1
24,B,Ship,4,4,171,2,low,M,4,4962,0
25,F,Ship,3,5,156,2,medium,F,8,5848,0
26,B,Ship,3,1,231,3,medium,F,33,2755,1
27,C,Road,3,4,231,2,high,F,6,4452,0
28,B,Ship,3,3,228,3,medium,F,8,4927,0
29,B,Ship,3,3,162,2,medium,M,5,1202,1
30,B,Ship,5,2,174,2,medium,M,54,1091,1
31,F,Flight,4,1,210,2,medium,F,7,3405,1
32,F,Ship,3,4,153,2,medium,M,37,1740,1
33,F,Ship,7,4,251,5,low,M,3,1433,0
34,D,Ship,3,4,223,3,low,F,7,5336,1
35,B,Road,3,3,167,3,low,F,8,4420,0
36,C,Ship,2,5,181,5,medium,F,5,1043,0
37,B,Ship,4,1,220,3,medium,M,1,5159,1
38,D,Ship,5,1,269,6,medium,F,8,1341,0
39,F,Ship,2,1,121,3,medium,M,25,1124,1
40,D,Ship,5,2,157,2,low,M,32,1497,1
41,A,Road,3,3,137,3,high,M,7,5794,1
42,F,Flight,2,3,257,4,medium,F,52,2073,1
43,F,Ship,4,2,190,2,medium,F,6,3595,1
44,D,Ship,4,3,156,3,medium,F,8,4701,1
45,B,Ship,6,4,278,4,low,M,3,1141,1
46,F,Ship,4,2,206,2,medium,M,4,5159,0
47,C,Ship,4,2,218,2,high,M,1,2990,1
48,F,Ship,4,3,174,2,low,M,10,5554,0
49,D,Road,4,2,217,2,low,M,4,5539,0
50,F,Flight,3,1,170,3,low,M,3,4454,1
51,C,Road,3,4,150,2,medium,M,64,1777,1
52,D,Ship,4,5,269,4,medium,M,60,3456,1
53,C,Ship,3,3,143,3,low,M,64,1630,1
54,F,Road,6,1,243,4,high,F,22,3537,1
55,B,Ship,5,5,149,3,medium,M,9,5979,0
56,B,Ship,5,5,236,5,low,M,3,1933,1
57,F,Flight,3,1,153,2,medium,F,51,1841,1
58,B,Ship,3,2,184,4,medium,F,10,2972,1
59,A,Road,2,3,142,3,low,F,46,1694,1
60,C,Ship,4,1,189,10,medium,F,2,4505,1
61,F,Flight,4,2,186,2,low,M,2,5604,1
62,C,Ship,4,5,228,5,medium,F,4,1618,0
63,C,Flight,4,5,138,3,low,F,64,1708,1
64,B,Ship,2,3,136,3,low,M,10,4933,0
65,C,Ship,5,1,149,2,low,M,9,5435,0
66,B,Ship,4,4,226,5,medium,F,12,2708,1
67,C,Ship,5,4,193,4,high,F,4,5757,1
68,D,Ship,4,5,147,3,medium,F,46,1469,1
69,B,Ship,3,5,251,3,low,M,1,5073,0
70,F,Flight,5,3,269,5,low,F,8,5833,1
71,A,Ship,5,5,271,4,high,M,10,4305,1
72,D,Ship,3,2,150,3,low,M,2,4660,1
73,C,Ship,3,4,210,2,medium,M,29,3142,1
74,F,Flight,7,5,254,4,medium,F,6,1014,0
75,F,Ship,3,3,233,3,medium,M,35,2204,1
76,C,Ship,3,5,196,3,low,M,1,5303,1
77,C,Ship,5,2,198,5,low,M,65,1994,1
78,A,Ship,4,4,233,3,low,F,5,5421,0
79,C,Ship,3,5,150,3,high,M,6,4565,0
80,F,Ship,6,4,247,4,medium,M,3,1946,0
81,D,Ship,4,3,119,5,medium,M,5,1841,1
82,C,Ship,3,4,172,2,low,M,5,5919,0
83,C,Ship,3,4,164,3,high,F,55,1293,1
84,C,Ship,3,1,133,3,medium,M,8,4634,0
85,A,Ship,5,4,193,3,medium,M,4,5873,0
86,F,Road,3,1,257,2,low,M,6,4897,1
87,A,Ship,5,1,236,6,medium,F,4,1705,0
88,F,Ship,6,3,244,3,medium,M,4,5277,1
